Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR13060084,2020-11-14 10:24:18,2020-11-14 10:18:07,40956,15563280,40956,380,10,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13060/SRR13060084/SRR13060084.lite.1,SRX9508531,M00175:A20.2.30_16S,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP292558,PRJNA674880,,674880,SRS7717069,SAMN16679265,simple,408170,human gut metagenome,A20.2.30_16S,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA1155924,,public,B012F28B25A460959C469F99E61B96E6,ED78BE98806EEC04F35A87DF6365F661
SRR13060083,2020-11-14 10:24:18,2020-11-14 10:17:55,38758,14728040,38758,380,9,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR013/13060/SRR13060083/SRR13060083.lite.1,SRX9508532,M00175:A20.2.60_16S,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP292558,PRJNA674880,,674880,SRS7717070,SAMN16679266,simple,408170,human gut metagenome,A20.2.60_16S,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA1155924,,public,0E4CF8C40902E48CB2ABD14511051FFF,593628EB63C5D5BD90FF3790B211C555
SRR13060082,2020-11-14 10:24:18,2020-11-14 10:17:52,37188,14131440,37188,380,9,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR013/13060/SRR13060082/SRR13060082.lite.1,SRX9508533,M00175:A20.2.7_16S,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP292558,PRJNA674880,,674880,SRS7717071,SAMN16679267,simple,408170,human gut metagenome,A20.2.7_16S,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA1155924,,public,A81346DEC4AE1F307744F9B5046CCA65,BF4A269A8D33F2AF185C9454B667B2E7
SRR13060081,2020-11-14 10:24:18,2020-11-14 10:18:07,50118,19044840,50118,380,12,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13060/SRR13060081/SRR13060081.lite.1,SRX9508534,M00175:A20.2.90_16S,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP292558,PRJNA674880,,674880,SRS7717072,SAMN16679268,simple,408170,human gut metagenome,A20.2.90_16S,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA1155924,,public,5850A27AA00BAD6EC62114DA38741AA0,E72E28743CC7EEFB4B4E30C4349E217F
SRR13060080,2020-11-14 10:24:18,2020-11-14 10:18:01,43447,16509860,43447,380,11,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13060/SRR13060080/SRR13060080.lite.1,SRX9508535,M00175:A21.1.180_16S,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP292558,PRJNA674880,,674880,SRS7717073,SAMN16679269,simple,408170,human gut metagenome,A21.1.180_16S,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA1155924,,public,1EF537F26FBBD9B119BB1CE9F12E3509,8A956A1F8836DEEE270410651B10D3D4
SRR13060086,2020-11-14 10:24:18,2020-11-14 10:19:12,2550092,698643669,2550092,273,274,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13060/SRR13060086/SRR13060086.lite.1,SRX9508529,NS500153:4.13.DP_wgs,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP292558,PRJNA674880,,674880,SRS7717067,SAMN16679011,simple,408170,human gut metagenome,4.13.DP_wgs,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA1155924,,public,B573A9C801A97D0D9A39FB698DE06B0E,95DC326F53FB330F9FBC9ADDC3FC395B
SRR13060089,2020-11-14 10:24:18,2020-11-14 10:18:14,32693,12423340,32693,380,8,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR013/13060/SRR13060089/SRR13060089.lite.1,SRX9508526,M00175:A19.1.30_16S,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP292558,PRJNA674880,,674880,SRS7717065,SAMN16679261,simple,408170,human gut metagenome,A19.1.30_16S,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA1155924,,public,79158956E6AA345358A815537E7CEF96,80188D4415606BA59432FB3B2026987A
SRR13060088,2020-11-14 10:24:18,2020-11-14 10:18:03,37948,14420240,37948,380,9,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR013/13060/SRR13060088/SRR13060088.lite.1,SRX9508527,M00175:A19.1.60_16S,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP292558,PRJNA674880,,674880,SRS7717064,SAMN16679262,simple,408170,human gut metagenome,A19.1.60_16S,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA1155924,,public,5D3FDD484224C771AA2B50C52D3F827F,C03E7A42DAEA9D55AC12A4F01684874A
SRR13060087,2020-11-14 10:24:18,2020-11-14 10:18:06,41065,15604700,41065,380,10,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13060/SRR13060087/SRR13060087.lite.1,SRX9508528,M00175:A19.1.7_16S,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP292558,PRJNA674880,,674880,SRS7717066,SAMN16679263,simple,408170,human gut metagenome,A19.1.7_16S,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA1155924,,public,9937F43CC507A7FC59E08FE305BE01AC,EE5C66F2B26168BA2C2B36A4526551E8
SRR13060085,2020-11-14 10:24:18,2020-11-14 10:18:02,31668,12033840,31668,380,8,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR013/13060/SRR13060085/SRR13060085.lite.1,SRX9508530,M00175:A20.1.7_16S,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP292558,PRJNA674880,,674880,SRS7717068,SAMN16679264,simple,408170,human gut metagenome,A20.1.7_16S,,,,,,,no,,,,,WASHINGTON UNIVERSITY IN ST. LOUIS,SRA1155924,,public,9297EA284C493CAC0995FB3EC4569E21,D76F27832D3870A4E18A898CB315B502
